grid_id,PR,BH_avg,APAR,RD,poi_diversity,dominant_function_ratio,PD,ED,LPI,nli,LST_mean
9919,0.3649907775894995,6.807692307692308,0.274851791976422,0.0,0.0,0.0,8.0,36300.0,23.75,1.2125,29.19458333333337
9920,1.2595635382077892,18.7875,0.2999624146262387,0.0,0.0,0.0,36.0,28100.0,55.50000000000001,6.635,29.156190476190503
9927,0.377751155435415,6.611464968152866,0.4727476055203858,0.0,0.0,0.0,4.0,15600.0,41.5,8.49,29.11380952380956
9931,0.8138876861991796,17.181818181818183,0.2185479052278811,0.0,0.0,0.0,4.0,24700.0,55.25,3.815,29.20095238095241
9933,0.6771127914603092,11.844155844155845,0.2756936980259454,0.0,0.0,0.0,8.0,40700.0,31.5,1.2525,28.95816326530615
9935,0.3017736179712331,6.627906976744186,0.3835081910886936,0.0,0.0,0.0,12.0,23700.0,64.5,1.7425,28.82877551020411
9936,0.3853336475045703,16.0,0.1693963159576507,0.0,0.0,0.0,4.0,21200.0,49.0,0.9775,29.428333333333367
9937,0.306461915203305,19.6,0.3336077802200801,0.0,0.0,0.0,4.0,35600.0,22.0,1.23,29.08714285714288
9938,0.8558389650926933,17.47826086956522,0.3581282349235104,0.0,0.0,0.0,4.0,35900.0,28.000000000000004,1.0225,29.30047619047622
9941,0.0284195401766275,6.0,0.2195658896582457,0.0,0.0,0.0,44.0,27900.0,59.75,8.08,28.96190476190479
9942,0.3384081280299372,22.33333333333333,0.3972644677121836,118.53862361606974,0.0,0.0,44.0,26600.0,62.5,9.175,28.693333333333364
9943,0.3516240239640343,12.333333333333334,0.2680554364926311,229.38771312961995,0.0,0.0,40.0,37400.0,37.75,2.3325,28.86061224489799
9944,0.1935060877947034,16.8,0.2038943869910052,0.0,0.0,0.0,4.0,35100.0,45.0,3.625,28.638163265306144
9945,0.2161480773528479,13.5,0.1560214640431912,0.0,0.0,0.0,4.0,26700.0,62.74999999999999,1.7125,28.91571428571432
9947,0.1142976298678247,7.5,0.1996229273551397,0.0,0.0,0.0,4.0,27000.0,29.25,1.4025,28.754285714285743
9950,0.1862632512235467,6.0,0.3732561889495857,0.0,0.0,0.0,4.0,20600.0,33.0,0.815,29.08095238095241
9969,0.046700763505136,6.0,0.263462219765729,0.0,0.0,0.0,4.0,12600.0,77.0,0.995,29.820000000000032
